"cell","res","rep","test","treatment","fluo"
"M130429","res",1,"Mitosox","DMSO",1152
"M010817","res",1,"Mitosox","DMSO",691
"M130429","res",2,"Mitosox","DMSO",1208
"M010817","res",2,"Mitosox","DMSO",1160
"M130429","res",1,"DCF-DA","DMSO",1099
"M010817","res",1,"DCF-DA","DMSO",1036
"M130429","res",2,"DCF-DA","DMSO",1758
"M010817","res",2,"DCF-DA","DMSO",865
"M130429","res",3,"DCF-DA","DMSO",NA
"M010817","res",3,"DCF-DA","DMSO",1203
"M130429","res",1,"Mitosox","STO",2360
"M010817","res",1,"Mitosox","STO",1116
"M130429","res",2,"Mitosox","STO",2281
"M010817","res",2,"Mitosox","STO",1795
"M130429","res",1,"DCF-DA","STO",1513
"M010817","res",1,"DCF-DA","STO",1672
"M130429","res",2,"DCF-DA","STO",2512
"M010817","res",2,"DCF-DA","STO",1276
"M130429","res",3,"DCF-DA","STO",NA
"M010817","res",3,"DCF-DA","STO",1225
"M130429","res",1,"Mitosox","STO_NAC",1248
"M010817","res",1,"Mitosox","STO_NAC",660
"M130429","res",2,"Mitosox","STO_NAC",1238
"M010817","res",2,"Mitosox","STO_NAC",980
"M130429","res",1,"DCF-DA","STO_NAC",1022
"M010817","res",1,"DCF-DA","STO_NAC",723
"M130429","res",2,"DCF-DA","STO_NAC",1760
"M010817","res",2,"DCF-DA","STO_NAC",698
"M130429","res",3,"DCF-DA","STO_NAC",NA
"M010817","res",3,"DCF-DA","STO_NAC",799
"M130219","sen",1,"Mitosox","DMSO",1005
"M130227","sen",1,"Mitosox","DMSO",660
"M160915","sen",1,"Mitosox","DMSO",1196
"M121224","sen",1,"Mitosox","DMSO",1038
"M130219","sen",2,"Mitosox","DMSO",893
"M130227","sen",2,"Mitosox","DMSO",1149
"M160915","sen",2,"Mitosox","DMSO",2115
"M121224","sen",2,"Mitosox","DMSO",1065
"M130219","sen",1,"DCF-DA","DMSO",3831
"M130227","sen",1,"DCF-DA","DMSO",2907
"M160915","sen",1,"DCF-DA","DMSO",2775
"M121224","sen",1,"DCF-DA","DMSO",1657
"M130219","sen",2,"DCF-DA","DMSO",2627
"M130227","sen",2,"DCF-DA","DMSO",776
"M160915","sen",2,"DCF-DA","DMSO",2536
"M121224","sen",2,"DCF-DA","DMSO",2619
"M130219","sen",3,"DCF-DA","DMSO",2186
"M130227","sen",3,"DCF-DA","DMSO",2232
"M160915","sen",3,"DCF-DA","DMSO",NA
"M121224","sen",3,"DCF-DA","DMSO",1954
"M130219","sen",1,"Mitosox","STO",1719
"M130227","sen",1,"Mitosox","STO",1506
"M160915","sen",1,"Mitosox","STO",3462
"M121224","sen",1,"Mitosox","STO",2137
"M130219","sen",2,"Mitosox","STO",1960
"M130227","sen",2,"Mitosox","STO",2196
"M160915","sen",2,"Mitosox","STO",3747
"M121224","sen",2,"Mitosox","STO",1975
"M130219","sen",1,"DCF-DA","STO",5641
"M130227","sen",1,"DCF-DA","STO",4628
"M160915","sen",1,"DCF-DA","STO",5882
"M121224","sen",1,"DCF-DA","STO",3033
"M130219","sen",2,"DCF-DA","STO",4181
"M130227","sen",2,"DCF-DA","STO",1236
"M160915","sen",2,"DCF-DA","STO",3908
"M121224","sen",2,"DCF-DA","STO",4259
"M130219","sen",3,"DCF-DA","STO",2870
"M130227","sen",3,"DCF-DA","STO",2932
"M160915","sen",3,"DCF-DA","STO",NA
"M121224","sen",3,"DCF-DA","STO",3399
"M130219","sen",1,"Mitosox","STO_NAC",1007
"M130227","sen",1,"Mitosox","STO_NAC",660
"M160915","sen",1,"Mitosox","STO_NAC",1038
"M121224","sen",1,"Mitosox","STO_NAC",1097
"M130219","sen",2,"Mitosox","STO_NAC",944
"M130227","sen",2,"Mitosox","STO_NAC",670
"M160915","sen",2,"Mitosox","STO_NAC",1808
"M121224","sen",2,"Mitosox","STO_NAC",1098
"M130219","sen",1,"DCF-DA","STO_NAC",2918
"M130227","sen",1,"DCF-DA","STO_NAC",2453
"M160915","sen",1,"DCF-DA","STO_NAC",1863
"M121224","sen",1,"DCF-DA","STO_NAC",1659
"M130219","sen",2,"DCF-DA","STO_NAC",2155
"M130227","sen",2,"DCF-DA","STO_NAC",670
"M160915","sen",2,"DCF-DA","STO_NAC",2340
"M121224","sen",2,"DCF-DA","STO_NAC",2565
"M130219","sen",3,"DCF-DA","STO_NAC",1793
"M130227","sen",3,"DCF-DA","STO_NAC",1711
"M160915","sen",3,"DCF-DA","STO_NAC",NA
"M121224","sen",3,"DCF-DA","STO_NAC",2094
